method,label,primitive_regime,include_sqrt,seed,n,noise,k_folds,R2_oof,MSE_oof,elapsed_sec,prediction_pass,terminal_span_pass,terminal_selected_span_corr,terminal_subexpr_span_corr,radical_in_discovery,radical_single_corr,radical_subexpr_span_corr,radical_product_pass,vieta_gate_pass,strict_A0_not_eligible,best_expression_or_abstraction,error
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,80,0.01,,0.9985097618916655,0.0007534719999151498,35.22868204116821,True,True,0.9999146117545249,0.9999993891767534,True,0.9955090272405831,0.9999988409983869,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,80,0.05,,0.9653851841185792,0.01782420259535918,22.159623861312866,True,True,0.99995532384677,0.9999553238502644,True,0.9902404929767894,0.9999299882820504,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,80,0.05,,-11.098502721848774,6.229880417491505,38.58109998703003,False,True,0.9999996747820483,0.9999999934217959,True,1.0,0.9999999991685211,True,False,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,80,0.1,,0.9296868349644176,0.037336627682544136,21.91969108581543,False,True,0.999958577218151,0.9999697767225771,True,0.9902404929767894,0.9998972277273326,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,80,0.1,,0.9726827905138687,0.014505569183148001,37.94351077079773,True,True,0.9999910787912284,0.9999999844520866,True,1.0,0.99999999886515,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,80,0.2,,-11311307.852659017,6536630.709960857,23.926748037338257,False,True,0.99988896788856,0.9999421176084304,True,0.9902404929767894,0.9999525363899381,False,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,80,0.2,,-139.8913413726972,81.41893045099347,29.584482192993164,False,True,0.9997993781805153,0.999999789796551,True,1.0,0.9999999999918386,False,False,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,160,0.0,,0.9708059879471157,0.015559046705164017,22.931666135787964,True,True,0.9999991606677159,0.9999991606677785,True,0.989270110735748,0.9999990421632543,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,160,0.0,,0.9994323486761997,0.00030253167818314206,35.34509062767029,True,True,0.9999912842061418,0.9999920514673911,True,1.0,0.9999999999583324,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,160,0.001,,0.9760278959740675,0.012777731722632676,22.790994882583618,True,True,0.9999991606677072,0.999999160667795,True,0.989270110735748,0.999999042163314,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,160,0.001,,0.9993671140706009,0.00033734404823802317,34.88493061065674,True,True,0.9999782454766026,0.9999799259503969,True,1.0,0.9999999999790673,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,160,0.01,,0.35857111851569734,0.34236495221184016,23.528833866119385,False,True,0.9999991378133116,0.9999991378133032,True,0.989270110735748,0.9999989839698378,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,160,0.01,,0.9993646003913107,0.0003391468063629104,35.61690402030945,True,True,0.9999963081222171,0.9999965170742967,True,1.0,0.9999999999002688,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,160,0.05,,0.9948057120278557,0.0027987184489494795,24.12302803993225,True,True,0.9999974730326772,0.999997473057564,True,0.989270110735748,0.9999927990807633,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,160,0.05,,0.974470676266401,0.013755377003661121,38.25217294692993,True,True,0.9999998609969966,0.9999999736452859,True,1.0,0.999999999856217,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,160,0.1,,0.9737635336759395,0.014411478664406101,24.0934579372406,True,True,0.9999803305769056,0.9999803305769204,True,0.989270110735748,0.9999179878712621,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,160,0.1,,0.8978170779985717,0.0561282522616159,41.08106589317322,False,True,0.9999961106785296,0.9999999786924817,True,1.0,0.999999999998969,True,False,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,160,0.2,,0.9247840390065071,0.04393785019765051,23.33021378517151,False,True,0.9999976792942262,0.9999976792942828,True,0.9892701107357481,0.9999928682747898,False,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,160,0.2,,0.9057879682853153,0.05503451769570864,43.04430103302002,False,True,0.9999279706429637,0.9999999482164107,True,1.0,0.999999999992264,False,False,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,320,0.0,,0.9999447907351687,2.9497218933035088e-05,23.701267957687378,True,True,0.9924634107215773,0.9999776863642574,True,0.9882029860247717,0.99990286623535,True,False,True,x1*sqrt_pos(2 + x0),
